"Player.name","position","Games","At.bat","Runs","Hits","Double..2B.","third.baseman","home.run","run.batted.in","a.walk","Strikeouts","stolen.base","Caught.stealing","AVG","On.base.Percentage","Slugging.Percentage","On.base.Plus.Slugging","Total_Bases","ISO","BB_K_Ratio","dominant_xbh","sb.attempts","SBSR","RPE","PA","totalXBH","xbhRate","Strikeouts_per_Game","Run_Production","OBP","SLG","AB_per_HR"
"B Bonds","LF",2986,9847,2227,2935,601,77,762,1996,2558,1539,514,141,0.298,0.444,0.607,1.0496906662259,5976,0.309,1.66211825860949,"Home Runs",655,78.4732824427481,0.21443079110389,12405,1440,0.490630323679727,0.515405224380442,1.41426657736102,0.442805320435308,0.606885345790596,12.9225721784777
"H Aaron","RF",3298,12364,2174,3771,624,98,755,2297,1402,1383,240,73,0.305,0.374,0.555,0.930294012042949,6856,0.25,1.01373825018077,"Home Runs",313,76.6773162939297,0.180807182141702,13766,1477,0.391673296207902,0.419345057610673,1.35567010309278,0.375780909487142,0.554513102555807,16.3761589403973
"B Ruth","RF",2504,8399,2174,2873,506,136,714,2213,2062,1330,123,117,0.342,0.474,0.69,1.16147718979887,5793,0.348,1.55037593984962,"Home Runs",240,51.25,0.261162043100369,10461,1356,0.471980508179603,0.531150159744409,1.75199680511182,0.471752222540866,0.689724967258007,11.7633053221289
"A Pujols","1B",3080,11421,1914,3384,686,16,703,2218,1373,1404,117,43,0.296,0.374,0.544,0.91563769583405,6211,0.248,0.977920227920228,"Home Runs",160,73.125,0.180894842833377,12794,1405,0.415189125295508,0.455844155844156,1.34155844155844,0.371814913240582,0.543822782593468,16.2460881934566
"A Rodriguez","SS",2784,10566,2021,3115,548,31,696,2086,1338,2287,329,76,0.295,0.38,0.55,0.924236834291977,5813,0.255,0.585045911674683,"Home Runs",405,81.2345679012346,0.19434980124929,11904,1275,0.409309791332263,0.821479885057471,1.47521551724138,0.374075940860215,0.550160893431762,15.1810344827586
"W Mays","CF",2992,10881,2062,3283,523,140,660,1903,1464,1526,338,103,0.302,0.384,0.557,0.942013674275658,6066,0.255,0.959370904325033,"Home Runs",441,76.6439909297052,0.182198327359618,12345,1323,0.402985074626866,0.510026737967914,1.32520053475936,0.384528149048198,0.557485525227461,16.4863636363636
"K Griffey","CF",2671,9801,1662,2781,524,38,630,1836,1312,1779,184,69,0.284,0.37,0.538,0.906109652819076,5271,0.254,0.737492973580663,"Home Runs",253,72.7272727272727,0.178451178451178,11113,1192,0.428622797554836,0.666042680643954,1.30962186447024,0.368307387744084,0.537802265074992,15.5571428571429
"J Thome","1B",2543,8422,1583,2328,451,26,612,1699,1747,2548,19,20,0.276,0.402,0.554,0.954871610649181,4667,0.278,0.68563579277865,"Home Runs",39,48.7179487179487,0.194846829731655,10169,1089,0.467783505154639,1.00196618167519,1.29060165159261,0.400727701838922,0.554143908810259,13.7614379084967
"S Sosa","RF",2354,8813,1475,2408,379,45,609,1667,929,2306,234,107,0.273,0.344,0.534,0.87629441659958,4704,0.261,0.402862098872507,"Home Runs",341,68.6217008797654,0.178259389538182,9742,1033,0.428986710963455,0.979609175870858,1.33474936278675,0.342537466639294,0.533756949960286,14.4712643678161
"F Robinson","RF",2808,10006,1829,2943,528,72,586,1812,1420,1532,204,77,0.294,0.389,0.537,0.918826229205589,5373,0.243,0.926892950391645,"Home Runs",281,72.5978647686833,0.181940835498701,11426,1186,0.402990146109412,0.545584045584046,1.29665242165242,0.381848415893576,0.536977813312013,17.0750853242321
"M McGwire","1B",1874,6187,1167,1626,252,6,583,1414,1317,1596,12,8,0.263,0.394,0.588,0.980359572464859,3639,0.325,0.825187969924812,"Home Runs",20,60,0.208582511718119,7504,841,0.517220172201722,0.851654215581644,1.37726787620064,0.392190831556503,0.588168740908356,10.6123499142367
"H Killebrew","1B",2435,8147,1283,2086,290,24,573,1584,1559,1699,19,18,0.256,0.376,0.509,0.884071650048937,4143,0.253,0.917598587404356,"Home Runs",37,51.3513513513513,0.175954339020498,9706,887,0.425215723873442,0.697741273100616,1.17741273100616,0.375540902534515,0.508530747514423,14.21815008726
"R Palmeiro","1B",2831,10472,1663,3020,585,38,569,1834,1353,1348,97,40,0.288,0.371,0.515,0.8843246220264,5388,0.227,1.00370919881306,"Doubles",137,70.8029197080292,0.166969060351413,11825,1192,0.394701986754967,0.476156835040622,1.23525256093253,0.369809725158562,0.514514896867838,18.4042179261863
"R Jackson","RF",2820,9864,1551,2584,463,49,563,1702,1375,2597,228,115,0.262,0.356,0.49,0.842320421149648,4834,0.228,0.529457065845206,"Home Runs",343,66.4723032069971,0.164892538523925,11239,1075,0.416021671826625,0.920921985815603,1.15354609929078,0.352255538748999,0.490064882400649,17.5204262877442
"M Ramirez","LF",2302,8244,1544,2574,547,20,555,1831,1329,1813,38,33,0.312,0.411,0.585,0.993104621181814,4826,0.273,0.73303916161059,"Home Runs",71,53.5211267605634,0.204694323144105,9573,1122,0.435897435897436,0.787576020851434,1.46611642050391,0.407709182074585,0.585395439107229,14.8540540540541
"M Schmidt","3B",2404,8352,1506,2234,408,59,548,1595,1507,1883,174,91,0.267,0.38,0.527,0.906749099078618,4404,0.26,0.800318640467339,"Home Runs",265,65.6603773584906,0.185644157088123,9859,1015,0.454341987466428,0.783277870216306,1.28993344425957,0.379450248503905,0.527298850574713,15.2408759124088
"D Ortiz","DH",2408,8640,1419,2472,632,19,541,1768,1319,1750,17,9,0.286,0.38,0.552,0.932165338536146,4765,0.266,0.753714285714286,"Doubles",26,65.3846153846154,0.18443287037037,9959,1192,0.482200647249191,0.726744186046512,1.3235049833887,0.380660708906517,0.55150462962963,15.9704251386322
