"Player.name","position","Games","At.bat","Runs","Hits","Double..2B.","third.baseman","home.run","run.batted.in","a.walk","Strikeouts","stolen.base","Caught.stealing","AVG","On.base.Percentage","Slugging.Percentage","On.base.Plus.Slugging","Total_Bases","ISO","BB_K_Ratio","sb.attempts","SBSR","PA","totalRuns","OBP","SLG","AB_per_HR"
"B Bonds","LF",2986,9847,2227,2935,601,77,762,1996,2558,1539,514,141,0.298,0.444,0.607,1.0496906662259,5976,0.309,1.66211825860949,655,78.4732824427481,12405,4223,0.442805320435308,0.606885345790596,12.9225721784777
"H Aaron","RF",3298,12364,2174,3771,624,98,755,2297,1402,1383,240,73,0.305,0.374,0.555,0.930294012042949,6856,0.25,1.01373825018077,313,76.6773162939297,13766,4471,0.375780909487142,0.554513102555807,16.3761589403973
"B Ruth","RF",2504,8399,2174,2873,506,136,714,2213,2062,1330,123,117,0.342,0.474,0.69,1.16147718979887,5793,0.348,1.55037593984962,240,51.25,10461,4387,0.471752222540866,0.689724967258007,11.7633053221289
"A Pujols","1B",3080,11421,1914,3384,686,16,703,2218,1373,1404,117,43,0.296,0.374,0.544,0.91563769583405,6211,0.248,0.977920227920228,160,73.125,12794,4132,0.371814913240582,0.543822782593468,16.2460881934566
"A Rodriguez","SS",2784,10566,2021,3115,548,31,696,2086,1338,2287,329,76,0.295,0.38,0.55,0.924236834291977,5813,0.255,0.585045911674683,405,81.2345679012346,11904,4107,0.374075940860215,0.550160893431762,15.1810344827586
"W Mays","CF",2992,10881,2062,3283,523,140,660,1903,1464,1526,338,103,0.302,0.384,0.557,0.942013674275658,6066,0.255,0.959370904325033,441,76.6439909297052,12345,3965,0.384528149048198,0.557485525227461,16.4863636363636
"K Griffey","CF",2671,9801,1662,2781,524,38,630,1836,1312,1779,184,69,0.284,0.37,0.538,0.906109652819076,5271,0.254,0.737492973580663,253,72.7272727272727,11113,3498,0.368307387744084,0.537802265074992,15.5571428571429
"J Thome","1B",2543,8422,1583,2328,451,26,612,1699,1747,2548,19,20,0.276,0.402,0.554,0.954871610649181,4667,0.278,0.68563579277865,39,48.7179487179487,10169,3282,0.400727701838922,0.554143908810259,13.7614379084967
"S Sosa","RF",2354,8813,1475,2408,379,45,609,1667,929,2306,234,107,0.273,0.344,0.534,0.87629441659958,4704,0.261,0.402862098872507,341,68.6217008797654,9742,3142,0.342537466639294,0.533756949960286,14.4712643678161
"F Robinson","RF",2808,10006,1829,2943,528,72,586,1812,1420,1532,204,77,0.294,0.389,0.537,0.918826229205589,5373,0.243,0.926892950391645,281,72.5978647686833,11426,3641,0.381848415893576,0.536977813312013,17.0750853242321
"M McGwire","1B",1874,6187,1167,1626,252,6,583,1414,1317,1596,12,8,0.263,0.394,0.588,0.980359572464859,3639,0.325,0.825187969924812,20,60,7504,2581,0.392190831556503,0.588168740908356,10.6123499142367
"H Killebrew","1B",2435,8147,1283,2086,290,24,573,1584,1559,1699,19,18,0.256,0.376,0.509,0.884071650048937,4143,0.253,0.917598587404356,37,51.3513513513513,9706,2867,0.375540902534515,0.508530747514423,14.21815008726
"R Palmeiro","1B",2831,10472,1663,3020,585,38,569,1834,1353,1348,97,40,0.288,0.371,0.515,0.8843246220264,5388,0.227,1.00370919881306,137,70.8029197080292,11825,3497,0.369809725158562,0.514514896867838,18.4042179261863
"R Jackson","RF",2820,9864,1551,2584,463,49,563,1702,1375,2597,228,115,0.262,0.356,0.49,0.842320421149648,4834,0.228,0.529457065845206,343,66.4723032069971,11239,3253,0.352255538748999,0.490064882400649,17.5204262877442
"M Ramirez","LF",2302,8244,1544,2574,547,20,555,1831,1329,1813,38,33,0.312,0.411,0.585,0.993104621181814,4826,0.273,0.73303916161059,71,53.5211267605634,9573,3375,0.407709182074585,0.585395439107229,14.8540540540541
"M Schmidt","3B",2404,8352,1506,2234,408,59,548,1595,1507,1883,174,91,0.267,0.38,0.527,0.906749099078618,4404,0.26,0.800318640467339,265,65.6603773584906,9859,3101,0.379450248503905,0.527298850574713,15.2408759124088
"D Ortiz","DH",2408,8640,1419,2472,632,19,541,1768,1319,1750,17,9,0.286,0.38,0.552,0.932165338536146,4765,0.266,0.753714285714286,26,65.3846153846154,9959,3187,0.380660708906517,0.55150462962963,15.9704251386322
"M Mantle","CF",2401,8102,1677,2415,344,72,536,1509,1733,1710,153,38,0.298,0.421,0.557,0.97853512855977,4511,0.259,1.01345029239766,191,80.1047120418848,9835,3186,0.421759023894255,0.556776104665515,15.115671641791
"J Foxx","1B",2317,8134,1751,2646,458,125,534,1922,1452,1311,87,72,0.325,0.428,0.609,1.03679275535572,4956,0.284,1.10755148741419,159,54.7169811320755,9586,3673,0.427498435218026,0.609294320137694,15.2322097378277
"W McCovey","1B",2588,8197,1229,2211,353,46,521,1555,1345,1550,26,22,0.27,0.374,0.515,0.887368703913868,4219,0.245,0.867741935483871,48,54.1666666666667,9542,2784,0.372668203730874,0.514700500182994,15.7332053742802
